Image_path,Insurance_company,Cost_of_vehicle,Min_coverage,Expiry_date,Max_coverage,Condition,Amount
0000.jpg,BQ,41500.0,1037.5,2026-12-03,36142.68,0,0.0
0001.jpg,BQ,50700.0,1267.5,2025-07-10,12753.0,1,6194.0
0002.jpg,A,49500.0,1237.5,2022-08-11,43102.68,0,0.0
0003.jpg,A,33500.0,837.5,2022-08-02,8453.0,1,7699.0
0004.jpg,AC,27600.0,690.0,2026-05-01,6978.0,1,8849.0
0005.jpg,AC,50700.0,1267.5,2026-08-07,12753.0,1,253.0
0006.jpg,AC,53200.0,1330.0,2028-01-12,13378.0,1,4013.0
0007.jpg,BC,35700.0,892.5,2027-11-16,9003.0,1,2228.0
0008.jpg,DA,,,2028-06-07,,1,513.0
0009.jpg,BB,48200.0,1205.0,2024-09-04,12128.0,1,6384.0
0010.jpg,DA,23100.0,577.5,2023-06-08,5853.0,1,9634.0
0011.jpg,C,30100.0,752.5,2026-09-20,7603.0,1,2435.0
0012.jpg,O,33700.0,842.5,2028-01-13,8503.0,1,2812.0
0013.jpg,DA,,,2026-05-28,,1,7983.0
0014.jpg,C,,,2022-01-12,,1,6532.0
0015.jpg,BC,44500.0,1112.5,2026-03-09,11203.0,1,8826.0
0016.jpg,BQ,51500.0,1287.5,2027-03-27,12953.0,1,5805.0
0017.jpg,AC,23900.0,597.5,2024-11-17,20830.68,0,0.0
0018.jpg,AC,51000.0,1275.0,2025-12-17,44407.68,0,0.0
0019.jpg,B,45200.0,1130.0,2024-04-13,11378.0,1,6914.0
0020.jpg,A,47000.0,1175.0,2028-04-13,11828.0,1,3554.0
0021.jpg,AC,,,2027-04-13,,1,470.0
0022.jpg,A,51000.0,1275.0,2026-03-07,44407.68,0,0.0
0023.jpg,O,,,2024-08-21,,1,7870.0
0024.jpg,BC,25000.0,625.0,2027-12-09,6328.0,1,1000.0
0025.jpg,AA,45400.0,1135.0,2028-01-19,11428.0,1,3478.0
0026.jpg,DA,,,2024-04-04,,1,2719.0
0027.jpg,BQ,36300.0,907.5,2024-02-24,9153.0,1,5672.0
0028.jpg,BC,43200.0,1080.0,2026-03-16,10878.0,1,6256.0
0029.jpg,BQ,43300.0,1082.5,2028-04-16,37708.68,0,0.0
0030.jpg,O,42300.0,1057.5,2026-12-29,10653.0,1,2181.0
0031.jpg,DA,41800.0,1045.0,2025-05-14,10528.0,1,305.0
0032.jpg,BC,37500.0,937.5,2028-11-01,9453.0,1,3470.0
0033.jpg,BQ,51800.0,1295.0,2022-03-10,45103.68,0,0.0
0034.jpg,BB,22800.0,570.0,2022-08-17,5778.0,1,3598.0
0035.jpg,BB,,,2024-08-05,,1,4513.0
0036.jpg,RE,41900.0,1047.5,2022-05-26,10553.0,1,8574.0
0037.jpg,RE,,,2026-12-30,,1,5503.0
0038.jpg,RE,35600.0,890.0,2027-08-06,8978.0,1,5999.0
0039.jpg,BQ,36900.0,922.5,2023-10-04,9303.0,1,10598.0
0040.jpg,DA,31100.0,777.5,2027-12-29,7853.0,1,4321.0
0041.jpg,AA,,,2028-02-04,,1,1803.0
0042.jpg,B,45900.0,1147.5,2024-10-17,11553.0,1,6170.0
0043.jpg,BQ,51400.0,1285.0,2027-07-13,12928.0,1,3745.0
0044.jpg,BQ,24600.0,615.0,2026-05-15,21439.68,0,0.0
0045.jpg,DA,,,2024-03-28,,1,5951.0
0046.jpg,BC,43500.0,1087.5,2023-02-24,10953.0,1,4221.0
0047.jpg,RE,30100.0,752.5,2024-04-11,7603.0,1,2813.0
0048.jpg,C,40900.0,1022.5,2025-05-05,10303.0,1,6737.0
0049.jpg,C,43700.0,1092.5,2026-10-26,11003.0,1,3289.0
0050.jpg,RE,38300.0,957.5,2022-12-17,9653.0,1,4991.0
0051.jpg,O,35500.0,887.5,2028-11-11,8953.0,1,9093.0
0052.jpg,AC,51800.0,1295.0,2027-06-08,13028.0,1,5485.0
0053.jpg,O,46000.0,1150.0,2026-01-11,11578.0,1,5638.0
0054.jpg,BQ,49200.0,1230.0,2023-02-03,12378.0,1,1018.0
0055.jpg,O,37000.0,925.0,2026-12-04,32227.68,0,0.0
0056.jpg,RE,39600.0,990.0,2026-12-12,9978.0,1,5108.0
0057.jpg,A,,,2023-11-30,,1,3791.0
0058.jpg,A,41100.0,1027.5,2028-09-14,10353.0,1,6555.0
0059.jpg,AA,35900.0,897.5,2025-11-21,9053.0,1,5177.0
0060.jpg,O,,,2024-10-14,,1,1785.0
0061.jpg,C,45400.0,1135.0,2026-01-16,11428.0,1,3202.0
0062.jpg,RE,31200.0,780.0,2021-12-22,7878.0,1,2904.0
0063.jpg,BB,33000.0,825.0,2027-03-20,8328.0,1,6767.0
0064.jpg,BQ,51400.0,1285.0,2022-01-23,12928.0,1,2653.0
0065.jpg,BC,50000.0,1250.0,2024-11-09,12578.0,1,7055.0
0066.jpg,AC,45000.0,1125.0,2028-11-03,11328.0,1,5682.0
0067.jpg,C,41200.0,1030.0,2026-12-12,10378.0,1,2972.0
0068.jpg,BQ,36600.0,915.0,2021-12-27,9228.0,1,2716.0
0069.jpg,C,28700.0,717.5,2027-08-14,7253.0,1,672.0
0070.jpg,A,42100.0,1052.5,2024-01-20,10603.0,1,7627.0
0071.jpg,BQ,45700.0,1142.5,2024-05-08,11503.0,1,825.0
0072.jpg,AA,42600.0,1065.0,2028-11-22,10728.0,1,9370.0
0073.jpg,AA,49000.0,1225.0,2025-04-04,12328.0,1,665.0
0074.jpg,DA,29600.0,740.0,2027-01-03,7478.0,1,4742.0
0075.jpg,DA,52200.0,1305.0,2024-12-18,13128.0,1,6320.0
0076.jpg,BQ,37900.0,947.5,2024-05-28,9553.0,1,991.0
