index,Image_path,Insurance_company,Cost_of_vehicle,Min_coverage,Expiry_date,Max_coverage,Condition,Amount
1,0001.jpg,BQ,50700.0,1267.5,2025-07-10,12753.0,1,6194.0
3,0003.jpg,A,33500.0,837.5,2022-08-02,8453.0,1,7699.0
4,0004.jpg,AC,27600.0,690.0,2026-05-01,6978.0,1,8849.0
5,0005.jpg,AC,50700.0,1267.5,2026-08-07,12753.0,1,253.0
6,0006.jpg,AC,53200.0,1330.0,2028-01-12,13378.0,1,4013.0
7,0007.jpg,BC,35700.0,892.5,2027-11-16,9003.0,1,2228.0
8,0008.jpg,DA,,,2028-06-07,,1,513.0
9,0009.jpg,BB,48200.0,1205.0,2024-09-04,12128.0,1,6384.0
10,0010.jpg,DA,23100.0,577.5,2023-06-08,5853.0,1,9634.0
11,0011.jpg,C,30100.0,752.5,2026-09-20,7603.0,1,2435.0
12,0012.jpg,O,33700.0,842.5,2028-01-13,8503.0,1,2812.0
13,0013.jpg,DA,,,2026-05-28,,1,7983.0
14,0014.jpg,C,,,2022-01-12,,1,6532.0
15,0015.jpg,BC,44500.0,1112.5,2026-03-09,11203.0,1,8826.0
16,0016.jpg,BQ,51500.0,1287.5,2027-03-27,12953.0,1,5805.0
19,0019.jpg,B,45200.0,1130.0,2024-04-13,11378.0,1,6914.0
20,0020.jpg,A,47000.0,1175.0,2028-04-13,11828.0,1,3554.0
21,0021.jpg,AC,,,2027-04-13,,1,470.0
23,0023.jpg,O,,,2024-08-21,,1,7870.0
24,0024.jpg,BC,25000.0,625.0,2027-12-09,6328.0,1,1000.0
25,0025.jpg,AA,45400.0,1135.0,2028-01-19,11428.0,1,3478.0
26,0026.jpg,DA,,,2024-04-04,,1,2719.0
27,0027.jpg,BQ,36300.0,907.5,2024-02-24,9153.0,1,5672.0
28,0028.jpg,BC,43200.0,1080.0,2026-03-16,10878.0,1,6256.0
30,0030.jpg,O,42300.0,1057.5,2026-12-29,10653.0,1,2181.0
31,0031.jpg,DA,41800.0,1045.0,2025-05-14,10528.0,1,305.0
32,0032.jpg,BC,37500.0,937.5,2028-11-01,9453.0,1,3470.0
34,0034.jpg,BB,22800.0,570.0,2022-08-17,5778.0,1,3598.0
35,0035.jpg,BB,,,2024-08-05,,1,4513.0
36,0036.jpg,RE,41900.0,1047.5,2022-05-26,10553.0,1,8574.0
37,0037.jpg,RE,,,2026-12-30,,1,5503.0
38,0038.jpg,RE,35600.0,890.0,2027-08-06,8978.0,1,5999.0
39,0039.jpg,BQ,36900.0,922.5,2023-10-04,9303.0,1,10598.0
40,0040.jpg,DA,31100.0,777.5,2027-12-29,7853.0,1,4321.0
41,0041.jpg,AA,,,2028-02-04,,1,1803.0
42,0042.jpg,B,45900.0,1147.5,2024-10-17,11553.0,1,6170.0
43,0043.jpg,BQ,51400.0,1285.0,2027-07-13,12928.0,1,3745.0
45,0045.jpg,DA,,,2024-03-28,,1,5951.0
46,0046.jpg,BC,43500.0,1087.5,2023-02-24,10953.0,1,4221.0
47,0047.jpg,RE,30100.0,752.5,2024-04-11,7603.0,1,2813.0
48,0048.jpg,C,40900.0,1022.5,2025-05-05,10303.0,1,6737.0
49,0049.jpg,C,43700.0,1092.5,2026-10-26,11003.0,1,3289.0
50,0050.jpg,RE,38300.0,957.5,2022-12-17,9653.0,1,4991.0
51,0051.jpg,O,35500.0,887.5,2028-11-11,8953.0,1,9093.0
52,0052.jpg,AC,51800.0,1295.0,2027-06-08,13028.0,1,5485.0
53,0053.jpg,O,46000.0,1150.0,2026-01-11,11578.0,1,5638.0
54,0054.jpg,BQ,49200.0,1230.0,2023-02-03,12378.0,1,1018.0
56,0056.jpg,RE,39600.0,990.0,2026-12-12,9978.0,1,5108.0
57,0057.jpg,A,,,2023-11-30,,1,3791.0
58,0058.jpg,A,41100.0,1027.5,2028-09-14,10353.0,1,6555.0
59,0059.jpg,AA,35900.0,897.5,2025-11-21,9053.0,1,5177.0
60,0060.jpg,O,,,2024-10-14,,1,1785.0
61,0061.jpg,C,45400.0,1135.0,2026-01-16,11428.0,1,3202.0
62,0062.jpg,RE,31200.0,780.0,2021-12-22,7878.0,1,2904.0
63,0063.jpg,BB,33000.0,825.0,2027-03-20,8328.0,1,6767.0
64,0064.jpg,BQ,51400.0,1285.0,2022-01-23,12928.0,1,2653.0
65,0065.jpg,BC,50000.0,1250.0,2024-11-09,12578.0,1,7055.0
66,0066.jpg,AC,45000.0,1125.0,2028-11-03,11328.0,1,5682.0
67,0067.jpg,C,41200.0,1030.0,2026-12-12,10378.0,1,2972.0
68,0068.jpg,BQ,36600.0,915.0,2021-12-27,9228.0,1,2716.0
69,0069.jpg,C,28700.0,717.5,2027-08-14,7253.0,1,672.0
70,0070.jpg,A,42100.0,1052.5,2024-01-20,10603.0,1,7627.0
71,0071.jpg,BQ,45700.0,1142.5,2024-05-08,11503.0,1,825.0
72,0072.jpg,AA,42600.0,1065.0,2028-11-22,10728.0,1,9370.0
73,0073.jpg,AA,49000.0,1225.0,2025-04-04,12328.0,1,665.0
74,0074.jpg,DA,29600.0,740.0,2027-01-03,7478.0,1,4742.0
75,0075.jpg,DA,52200.0,1305.0,2024-12-18,13128.0,1,6320.0
76,0076.jpg,BQ,37900.0,947.5,2024-05-28,9553.0,1,991.0
77,0077.jpg,B,50400.0,1260.0,2027-05-09,12678.0,1,4507.0
78,0078.jpg,AC,42100.0,1052.5,2028-01-20,10603.0,1,2313.0
79,0079.jpg,B,25900.0,647.5,2024-04-05,6553.0,1,227.0
81,0081.jpg,RE,42000.0,1050.0,2024-05-25,10578.0,1,733.0
82,0082.jpg,AC,30800.0,770.0,2025-12-28,7778.0,1,440.0
83,0083.jpg,RE,25700.0,642.5,2027-05-03,6503.0,1,3892.0
84,0084.jpg,BQ,44000.0,1100.0,2028-03-23,11078.0,1,7896.0
85,0085.jpg,RE,24300.0,607.5,2026-09-13,6153.0,1,8488.0
86,0086.jpg,A,48800.0,1220.0,2022-08-21,12278.0,1,7298.0
87,0087.jpg,RE,29400.0,735.0,2026-07-08,7428.0,1,1573.0
88,0088.jpg,RE,30300.0,757.5,2027-04-25,7653.0,1,4465.0
89,0089.jpg,AC,35500.0,887.5,2023-01-19,8953.0,1,3277.0
90,0090.jpg,RE,49300.0,1232.5,2024-09-16,12403.0,1,716.0
91,0091.jpg,RE,36400.0,910.0,2027-03-22,9178.0,1,2587.0
92,0092.jpg,AA,50500.0,1262.5,2023-01-17,12703.0,1,621.0
93,0093.jpg,BB,32500.0,812.5,2024-06-11,8203.0,1,459.0
94,0094.jpg,B,40200.0,1005.0,2028-05-23,10128.0,1,6385.0
95,0095.jpg,AA,24900.0,622.5,2027-12-30,6303.0,1,7381.0
96,0096.jpg,B,32500.0,812.5,2025-02-07,8203.0,1,103.0
97,0097.jpg,O,51300.0,1282.5,2022-10-17,12903.0,1,3434.0
98,0098.jpg,B,51800.0,1295.0,2023-05-12,13028.0,1,5803.0
99,0099.jpg,BQ,,,2025-04-08,,1,3769.0
100,0100.jpg,RE,45900.0,1147.5,2025-04-22,11553.0,1,3117.0
101,0101.jpg,O,30200.0,755.0,2023-04-05,7628.0,1,4138.0
102,0102.jpg,AC,53000.0,1325.0,2027-06-23,13328.0,1,5903.0
103,0103.jpg,A,42000.0,1050.0,2025-02-11,10578.0,1,6864.0
104,0104.jpg,AA,37400.0,935.0,2024-05-27,9428.0,1,4786.0
105,0105.jpg,B,29800.0,745.0,2023-09-17,7528.0,1,5784.0
106,0106.jpg,B,,,2023-03-19,,1,3212.0
107,0107.jpg,BC,45700.0,1142.5,2023-11-30,11503.0,1,
108,0108.jpg,BC,53500.0,1337.5,2024-08-26,13453.0,1,7109.0
109,0109.jpg,DA,,,2028-12-03,,1,4138.0
110,0110.jpg,DA,30300.0,757.5,2026-09-21,7653.0,1,6091.0
112,0112.jpg,O,47300.0,1182.5,2026-10-03,11903.0,1,8926.0
113,0113.jpg,AC,50700.0,1267.5,2021-11-05,12753.0,1,4349.0
114,0114.jpg,C,36300.0,907.5,2026-06-01,9153.0,1,5374.0
115,0115.jpg,A,38900.0,972.5,2022-11-08,9803.0,1,3476.0
116,0116.jpg,BB,25000.0,625.0,2025-12-22,6328.0,1,2550.0
117,0117.jpg,AC,27700.0,692.5,2025-01-11,7003.0,1,406.0
118,0118.jpg,RE,23400.0,585.0,2023-07-30,5928.0,1,4527.0
119,0119.jpg,O,30800.0,770.0,2023-07-22,7778.0,1,3130.0
120,0120.jpg,RE,41600.0,1040.0,2024-11-06,10478.0,1,948.0
121,0121.jpg,O,36100.0,902.5,2024-01-22,9103.0,1,3427.0
122,0122.jpg,AC,53000.0,1325.0,2022-01-02,13328.0,1,4273.0
123,0123.jpg,AA,35500.0,887.5,2023-05-16,8953.0,1,5514.0
124,0124.jpg,BQ,45900.0,1147.5,2024-01-24,11553.0,1,584.0
125,0125.jpg,DA,28300.0,707.5,2024-01-17,7153.0,1,4543.0
126,0126.jpg,BB,34400.0,860.0,2027-08-02,8678.0,1,3815.0
127,0127.jpg,O,37600.0,940.0,2022-11-01,9478.0,1,5582.0
128,0128.jpg,C,49300.0,1232.5,2022-10-17,12403.0,1,4004.0
129,0129.jpg,AA,33500.0,837.5,2023-08-23,8453.0,1,3804.0
130,0130.jpg,O,48900.0,1222.5,2022-12-30,12303.0,1,3490.0
131,0131.jpg,DA,29500.0,737.5,2027-04-20,7453.0,1,6261.0
132,0132.jpg,BC,29200.0,730.0,2026-02-11,7378.0,1,5036.0
133,0133.jpg,AC,41200.0,1030.0,2026-03-19,10378.0,1,6462.0
134,0134.jpg,B,48700.0,1217.5,2028-12-19,12253.0,1,4508.0
135,0135.jpg,A,29600.0,740.0,2026-12-29,7478.0,1,7970.0
136,0136.jpg,BB,44600.0,1115.0,2022-11-24,11228.0,1,7569.0
137,0137.jpg,B,38500.0,962.5,2024-09-23,9703.0,1,3527.0
139,0139.jpg,B,39300.0,982.5,2024-10-05,9903.0,1,5409.0
140,0140.jpg,BC,46500.0,1162.5,2026-12-20,11703.0,1,5555.0
141,0141.jpg,DA,40600.0,1015.0,2025-05-12,10228.0,1,662.0
142,0142.jpg,O,48300.0,1207.5,2027-09-11,12153.0,1,4841.0
143,0143.jpg,DA,38700.0,967.5,2023-05-09,9753.0,1,1726.0
144,0144.jpg,BQ,35800.0,895.0,2026-06-26,9028.0,1,2899.0
145,0145.jpg,AC,23500.0,587.5,2022-05-08,5953.0,1,5440.0
146,0146.jpg,DA,45800.0,1145.0,2028-08-20,11528.0,1,4789.0
147,0147.jpg,C,28900.0,722.5,2024-01-22,7303.0,1,1573.0
148,0148.jpg,BQ,32800.0,820.0,2026-09-28,8278.0,1,
150,0150.jpg,RE,25100.0,627.5,2026-09-21,6353.0,1,8443.0
151,0151.jpg,A,47100.0,1177.5,2022-03-13,11853.0,1,2841.0
152,0152.jpg,DA,29500.0,737.5,2027-01-17,7453.0,1,5408.0
153,0153.jpg,BC,24100.0,602.5,2027-10-08,6103.0,1,8601.0
154,0154.jpg,C,27300.0,682.5,2026-12-15,6903.0,1,6471.0
155,0155.jpg,AC,52700.0,1317.5,2026-12-15,13253.0,1,3521.0
156,0156.jpg,A,45000.0,1125.0,2028-05-25,11328.0,1,544.0
157,0157.jpg,O,53000.0,1325.0,2027-05-18,13328.0,1,5316.0
158,0158.jpg,AC,33500.0,837.5,2023-07-20,8453.0,1,563.0
159,0159.jpg,AC,,,2027-09-27,,1,603.0
160,0160.jpg,A,30400.0,760.0,2021-12-12,7678.0,1,3592.0
161,0161.jpg,BB,51700.0,1292.5,2022-01-13,13003.0,1,634.0
162,0162.jpg,BC,40800.0,1020.0,2022-04-03,10278.0,1,7009.0
163,0163.jpg,BQ,24400.0,610.0,2027-10-14,6178.0,1,6573.0
164,0164.jpg,BC,45000.0,1125.0,2026-01-20,11328.0,1,787.0
165,0165.jpg,A,38600.0,965.0,2026-09-14,9728.0,1,6628.0
166,0166.jpg,A,43600.0,1090.0,2024-10-14,10978.0,1,5262.0
167,0167.jpg,DA,48400.0,1210.0,2027-12-08,12178.0,1,2270.0
168,0168.jpg,O,28100.0,702.5,2025-06-22,7103.0,1,3957.0
169,0169.jpg,AA,,,2026-01-11,,1,5203.0
170,0170.jpg,AC,26600.0,665.0,2023-12-26,6728.0,1,6520.0
171,0171.jpg,DA,45500.0,1137.5,2024-07-08,11453.0,1,100.0
172,0172.jpg,AA,41400.0,1035.0,2026-11-08,10428.0,1,7091.0
175,0175.jpg,BB,31800.0,795.0,2025-01-31,8028.0,1,5552.0
176,0176.jpg,O,27400.0,685.0,2024-02-29,6928.0,1,10427.0
177,0177.jpg,B,26500.0,662.5,2028-02-22,6703.0,1,2954.0
178,0178.jpg,B,40500.0,1012.5,2026-03-10,10203.0,1,6197.0
179,0179.jpg,O,30000.0,750.0,2026-01-29,7578.0,1,4121.0
180,0180.jpg,C,37300.0,932.5,2027-01-05,9403.0,1,5767.0
181,0181.jpg,DA,40500.0,1012.5,2027-09-13,10203.0,1,9855.0
182,0182.jpg,B,39400.0,985.0,2026-04-27,9928.0,1,4546.0
183,0183.jpg,O,45400.0,1135.0,2027-05-05,11428.0,1,6805.0
184,0184.jpg,AA,51600.0,1290.0,2022-09-12,12978.0,1,499.0
185,0185.jpg,BC,26600.0,665.0,2025-11-24,6728.0,1,7224.0
186,0186.jpg,BQ,,,2022-10-24,,1,8206.0
187,0187.jpg,C,39700.0,992.5,2027-07-03,10003.0,1,9797.0
188,0188.jpg,BC,51000.0,1275.0,2027-06-25,12828.0,1,3090.0
189,0189.jpg,A,48700.0,1217.5,2028-04-26,12253.0,1,3192.0
190,0190.jpg,AC,30500.0,762.5,2022-10-06,7703.0,1,415.0
191,0191.jpg,BC,34800.0,870.0,2028-12-11,8778.0,1,1018.0
192,0192.jpg,AC,30100.0,752.5,2028-04-25,7603.0,1,6385.0
193,0193.jpg,C,26600.0,665.0,2021-12-03,6728.0,1,925.0
194,0194.jpg,A,47400.0,1185.0,2023-01-25,11928.0,1,2931.0
195,0195.jpg,DA,24400.0,610.0,2023-11-18,6178.0,1,10539.0
196,0196.jpg,BC,27900.0,697.5,2025-04-19,7053.0,1,3829.0
197,0197.jpg,BQ,45900.0,1147.5,2025-05-16,11553.0,1,4336.0
198,0198.jpg,DA,30900.0,772.5,2024-07-02,7803.0,1,1467.0
199,0199.jpg,AC,49700.0,1242.5,2025-12-17,12503.0,1,3773.0
200,0200.jpg,C,30000.0,750.0,2025-03-16,7578.0,1,4483.0
201,0201.jpg,BB,50200.0,1255.0,2023-07-21,12628.0,1,559.0
202,0202.jpg,DA,33100.0,827.5,2023-04-05,8353.0,1,1074.0
203,0203.jpg,B,29300.0,732.5,2023-08-09,7403.0,1,8740.0
204,0204.jpg,AC,45300.0,1132.5,2024-05-13,11403.0,1,3922.0
206,0206.jpg,DA,27700.0,692.5,2028-12-08,7003.0,1,2860.0
207,0207.jpg,DA,25000.0,625.0,2025-04-19,6328.0,1,500.0
208,0208.jpg,RE,44700.0,1117.5,2027-09-29,11253.0,1,4629.0
209,0209.jpg,BC,46900.0,1172.5,2023-06-05,11803.0,1,7742.0
210,0210.jpg,AA,36500.0,912.5,2027-09-12,9203.0,1,3686.0
211,0211.jpg,A,40700.0,1017.5,2022-09-29,10253.0,1,9724.0
212,0212.jpg,O,47100.0,1177.5,2023-03-01,11853.0,1,3853.0
214,0214.jpg,DA,41400.0,1035.0,2028-05-03,10428.0,1,257.0
215,0215.jpg,DA,29500.0,737.5,2028-12-17,7453.0,1,1316.0
216,0216.jpg,O,40800.0,1020.0,2025-06-04,10278.0,1,6583.0
219,0219.jpg,RE,49700.0,1242.5,2023-04-02,12503.0,1,6652.0
220,0220.jpg,BC,45600.0,1140.0,2027-05-19,11478.0,1,7397.0
223,0223.jpg,BQ,45800.0,1145.0,2026-06-24,11528.0,1,5325.0
224,0224.jpg,B,37400.0,935.0,2026-11-06,9428.0,1,4609.0
226,0226.jpg,A,35600.0,890.0,2028-05-10,8978.0,1,2717.0
227,0227.jpg,A,50000.0,1250.0,2026-12-16,12578.0,1,615.0
229,0229.jpg,BQ,27400.0,685.0,2028-05-04,6928.0,1,2865.0
230,0230.jpg,BB,43400.0,1085.0,2028-09-06,10928.0,1,4852.0
231,0231.jpg,AA,36200.0,905.0,2023-02-10,9128.0,1,8111.0
232,0232.jpg,B,46800.0,1170.0,2028-10-05,11778.0,1,5153.0
234,0234.jpg,DA,32400.0,810.0,2023-04-03,8178.0,1,4609.0
235,0235.jpg,A,35600.0,890.0,2026-10-27,8978.0,1,3441.0
236,0236.jpg,AA,39800.0,995.0,2027-03-11,10028.0,1,4349.0
237,0237.jpg,A,25900.0,647.5,2024-08-09,6553.0,1,1011.0
238,0238.jpg,AC,25000.0,625.0,2026-06-23,6328.0,1,868.0
239,0239.jpg,RE,43600.0,1090.0,2025-04-18,10978.0,1,2863.0
240,0240.jpg,O,42000.0,1050.0,2025-09-22,10578.0,1,5087.0
241,0241.jpg,C,31500.0,787.5,2024-11-25,7953.0,1,568.0
242,0242.jpg,BB,52200.0,1305.0,2027-03-17,13128.0,1,890.0
243,0243.jpg,B,43600.0,1090.0,2023-12-17,10978.0,1,6445.0
245,0245.jpg,C,26500.0,662.5,2022-01-20,6703.0,1,665.0
246,0246.jpg,BC,45500.0,1137.5,2027-03-01,11453.0,1,451.0
247,0247.jpg,C,50200.0,1255.0,2022-04-24,12628.0,1,5959.0
248,0248.jpg,BB,48500.0,1212.5,2027-07-31,12203.0,1,3157.0
249,0249.jpg,C,,,2024-07-08,,1,3501.0
250,0250.jpg,RE,47100.0,1177.5,2024-01-23,11853.0,1,2851.0
251,0251.jpg,BB,24700.0,617.5,2022-01-22,6253.0,1,5090.0
252,0252.jpg,BQ,48100.0,1202.5,2023-03-23,12103.0,1,8968.0
253,0253.jpg,BQ,26500.0,662.5,2025-03-14,6703.0,1,807.0
254,0254.jpg,B,36300.0,907.5,2024-03-28,9153.0,1,5526.0
255,0255.jpg,AC,52900.0,1322.5,2025-07-29,13303.0,1,4410.0
256,0256.jpg,C,36300.0,907.5,2022-01-31,9153.0,1,6959.0
257,0257.jpg,RE,36500.0,912.5,2023-02-07,9203.0,1,536.0
258,0258.jpg,BQ,30000.0,750.0,2028-12-25,7578.0,1,6936.0
260,0260.jpg,B,23100.0,577.5,2022-09-20,5853.0,1,6707.0
262,0262.jpg,A,38600.0,965.0,2025-03-08,9728.0,1,653.0
263,0263.jpg,B,38500.0,962.5,2023-10-04,9703.0,1,5551.0
264,0264.jpg,BC,27200.0,680.0,2027-01-21,6878.0,1,4184.0
266,0266.jpg,O,23500.0,587.5,2024-06-18,5953.0,1,819.0
267,0267.jpg,DA,51200.0,1280.0,2027-12-17,12878.0,1,2473.0
268,0268.jpg,BB,49900.0,1247.5,2024-11-26,12553.0,1,5697.0
