index,Image_path,Insurance_company,Cost_of_vehicle,Min_coverage,Expiry_date,Max_coverage,Condition,Amount
0,0000.jpg,BQ,41500.0,1037.5,2026-12-03,36142.68,0,0.0
2,0002.jpg,A,49500.0,1237.5,2022-08-11,43102.68,0,0.0
17,0017.jpg,AC,23900.0,597.5,2024-11-17,20830.68,0,0.0
18,0018.jpg,AC,51000.0,1275.0,2025-12-17,44407.68,0,0.0
22,0022.jpg,A,51000.0,1275.0,2026-03-07,44407.68,0,0.0
29,0029.jpg,BQ,43300.0,1082.5,2028-04-16,37708.68,0,0.0
33,0033.jpg,BQ,51800.0,1295.0,2022-03-10,45103.68,0,0.0
44,0044.jpg,BQ,24600.0,615.0,2026-05-15,21439.68,0,0.0
55,0055.jpg,O,37000.0,925.0,2026-12-04,32227.68,0,0.0
80,0080.jpg,BC,38300.0,957.5,2023-01-14,33358.68,0,0.0
111,0111.jpg,B,25700.0,642.5,2023-09-06,22396.68,0,0.0
138,0138.jpg,BB,24100.0,602.5,2025-11-13,21004.68,0,0.0
149,0149.jpg,AC,31700.0,792.5,2028-01-10,27616.68,0,0.0
173,0173.jpg,BC,33500.0,837.5,2027-12-20,29182.68,0,0.0
174,0174.jpg,BC,23300.0,582.5,2023-12-09,20308.68,0,0.0
205,0205.jpg,AA,38500.0,962.5,2021-12-19,33532.68,0,0.0
213,0213.jpg,AC,32700.0,817.5,2023-11-03,28486.68,0,0.0
217,0217.jpg,O,30100.0,752.5,2022-04-13,26224.68,0,0.0
218,0218.jpg,A,27900.0,697.5,2026-08-04,24310.68,0,0.0
221,0221.jpg,BQ,33300.0,832.5,2024-08-15,29008.68,0,0.0
222,0222.jpg,BB,38400.0,960.0,2025-06-02,33445.68,0,0.0
225,0225.jpg,BB,39400.0,985.0,2028-07-04,34315.68,0,0.0
228,0228.jpg,DA,35900.0,897.5,2024-09-16,31270.68,0,0.0
233,0233.jpg,BQ,43000.0,1075.0,2025-07-03,37447.68,0,0.0
244,0244.jpg,C,51100.0,1277.5,2022-01-30,44494.68,0,0.0
259,0259.jpg,AA,40400.0,1010.0,2028-03-28,35185.68,0,0.0
261,0261.jpg,BB,30800.0,770.0,2022-06-12,26833.68,0,0.0
265,0265.jpg,C,38100.0,952.5,2024-03-07,33184.68,0,0.0
287,0287.jpg,AC,51600.0,1290.0,2026-12-09,44929.68,0,0.0
308,0308.jpg,A,32400.0,810.0,2024-06-12,28225.68,0,0.0
319,0319.jpg,BQ,50200.0,1255.0,2022-08-11,43711.68,0,0.0
325,0325.jpg,AA,48600.0,1215.0,2021-11-08,42319.68,0,0.0
329,0329.jpg,BQ,47000.0,1175.0,2026-04-02,40927.68,0,0.0
332,0332.jpg,B,45400.0,1135.0,2026-04-28,39535.68,0,0.0
338,0338.jpg,DA,28700.0,717.5,2024-09-13,25006.68,0,0.0
352,0352.jpg,RE,40900.0,1022.5,2028-06-07,35620.68,0,0.0
359,0359.jpg,AA,30200.0,755.0,2027-10-08,26311.68,0,0.0
365,0365.jpg,RE,43600.0,1090.0,2026-05-07,37969.68,0,0.0
373,0373.jpg,O,35000.0,875.0,2022-03-24,30487.68,0,0.0
383,0383.jpg,BQ,24800.0,620.0,2026-06-02,21613.68,0,0.0
398,0398.jpg,AA,32100.0,802.5,2024-07-24,27964.68,0,0.0
